count	title	author	year	lists	key
5	Of Mice and Men	John Steinbeck		bbc_big_read_top100,bookbub_classics_lifetime,goodreads_lifetime_100_pdf,greatest_books_top200,worldcat_library100	of mice and men|steinbeck
5	The Red and the Black	Stendhal	1830	bokklubben_world_library,classic_books_challenge,greatest_books_top200,jeffrich_100_books,worldcat_library100	red and the black|stendhal
5	The Color Purple	Alice Walker	1982	bookbub_classics_lifetime,goodreads_lifetime_100_pdf,greatest_books_top200,guardian_100_best_novels_2026,pbs_great_american_read	color purple|walker
5	Brideshead Revisited	Evelyn Waugh	1945	bbc_big_read_top100,greatest_books_top200,modern_library_prh_novels,penguin_100_classics,time_100_novels	brideshead revisited|waugh
4	Go Tell It on the Mountain	James Baldwin	1953	bookbub_classics_lifetime,guardian_100_best_novels_2026,modern_library_prh_novels,time_100_novels	go tell it on the mountain|baldwin
4	Ficciones	Jorge Luis Borges	1944–56	bokklubben_world_library,classic_books_challenge,greatest_books_top200,le_monde_100_books	ficciones|borges
4	Pilgrim's Progress	John Bunyan	1678	guardian_100_best_novels_english_2015,observer_100_greatest_novels_2003,pbs_great_american_read,worldcat_library100	pilgrims progress|bunyan
4	The Secret Garden	Frances Hodgson Burnett		bbc_big_read_top100,bookbub_classics_lifetime,goodreads_lifetime_100_pdf,worldcat_library100	secret garden|burnett
4	The Canterbury Tales	Geoffrey Chaucer	1380s–1400	bokklubben_world_library,classic_books_challenge,great_books_western_world,greatest_books_top200	canterbury tales|chaucer
4	Stories	Anton Chekhov	1886	bokklubben_world_library,classic_books_challenge,greatest_books_top200,jeffrich_100_books	stories|chekhov
4	And Then There Were None	Agatha Christie	1939	bookbub_classics_lifetime,goodreads_lifetime_100_pdf,greatest_books_top200,pbs_great_american_read	and then there were none|christie
4	The Woman in White	Wilkie Collins	1860	bbc_big_read_top100,greatest_books_top200,observer_100_greatest_novels_2003,penguin_100_classics	woman in white|collins
4	Lord Jim	Joseph Conrad	1900	greatest_books_top200,le_monde_100_books,modern_library_prh_novels,worldcat_library100	lord jim|conrad
4	The Divine Comedy	Dante Alighieri	1308–21	bokklubben_world_library,classic_books_challenge,great_books_western_world,greatest_books_top200	divine comedy|dante
4	A Christmas Carol	Charles Dickens	1843	bbc_big_read_top100,goodreads_lifetime_100_pdf,penguin_100_classics,worldcat_library100	christmas carol|dickens
4	Sentimental Education	Gustave Flaubert	1869	bokklubben_world_library,classic_books_challenge,greatest_books_top200,guardian_100_best_novels_2026	sentimental education|flaubert
4	The Diary of a Young Girl	Anne Frank	1947	bookbub_classics_lifetime,goodreads_lifetime_100_pdf,greatest_books_top200,le_monde_100_books	diary of a young girl|frank
4	Dead Souls	Nikolai Gogol	1842	bokklubben_world_library,classic_books_challenge,greatest_books_top200,jeffrich_100_books	dead souls|gogol
4	Memoirs of a Geisha	Arthur Golden	1997	bbc_big_read_top100,bookbub_classics_lifetime,goodreads_lifetime_100_pdf,pbs_great_american_read	memoirs of a geisha|golden
4	The Tin Drum	Günter Grass	1959	bokklubben_world_library,greatest_books_top200,jeffrich_100_books,observer_100_greatest_novels_2003	tin drum|grass
4	For Whom the Bell Tolls	Ernest Hemingway	1940	classic_books_challenge,greatest_books_top200,le_monde_100_books,worldcat_library100	for whom the bell tolls|hemingway
4	A Prayer for Owen Meany	John Irving	1989	bbc_big_read_top100,bookbub_classics_lifetime,goodreads_lifetime_100_pdf,pbs_great_american_read	prayer for owen meany|irving
4	Lady Chatterley's Lover	D. H. Lawrence	1928	greatest_books_top200,le_monde_100_books,penguin_100_classics,worldcat_library100	lady chatterleys lover|lawrence
4	Sons and Lovers	D. H. Lawrence	1913	bokklubben_world_library,greatest_books_top200,modern_library_prh_novels,worldcat_library100	sons and lovers|lawrence
